Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Dgree Education,https://www.crunchbase.com/organization/dgree-io,Active,,"Corporate Training, E-Learning, Education, Personal Development, Software","Essen, Nordrhein-Westfalen, Germany",Dgree is the answer to the paradigm shift in personnel development,"290,364","European Union (EU), Europe, Middle East, and Africa (EMEA)",45128 Essen,Less than $1M,2019-10-31,day,,,,,For Profit,https://www.dgree.io,https://twitter.com/dgree_education,https://www.facebook.com/dgree.education,https://www.linkedin.com/company/dgree-education/,Dgree.io democratize learning and helps employees combine innovative learning content with their daily used learning source. Dgree is the answer to the paradigm shift in personnel development and helps employees to develop the right competencies and to integrate them into their daily work without barriers.,"Education, Software",,1-10,,2,Seed,2022-02-01,,,,Pre-Seed,,,,Pre-Seed,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
docport,https://www.crunchbase.com/organization/docport,Active,,"Hardware, Health Care, Software","Essen, Nordrhein-Westfalen, Germany",docport provides an all-in-one platform for fully hybrid primary care practices in Germany.,"316,246","European Union (EU), Europe, Middle East, and Africa (EMEA)",45327,Less than $1M,2019-10-30,day,,,,,For Profit,https://docport.de/,https://twitter.com/docport_de,https://www.facebook.com/docport.de,https://www.linkedin.com/company/docport,"docport provides software and hardware solutions  as an all-in-one platform for fully hybrid primary care practices in Germany. The platform is unique, because all technical and procedural systems in the practices are centrally managed and maintained and in some instances developed in-house by docport itself. This vertical integration is possible due to the company's unique founder team of tech-driven doctors and primary care experts.","Hardware, Health Care, Software",,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
medlink,https://www.crunchbase.com/organization/medlink-9025,Active,,"Health Care, Hospital, Human Resources, Recruiting, SaaS, Software","Cologne, Nordrhein-Westfalen, Germany",medical HR SAAS solution for hospitals,"131,693","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2019-10-01,month,,,,,For Profit,https://medlink.de/de,,,https://www.linkedin.com/company/medlinkde/,"medlink is a HR-management software, optimizing clinical personnel deployment in order to increase efficiency in organization, communication and coordination. The platform digitally networks medical facilities with personnel service providers, temporary staff and other external workers from the nursing and medical sector. In this way, medical facilities can find personnel for your hospital in a time and cost-efficient manner - precisely tailored to the specific requirements.","Administrative Services, Health Care, Professional Services, Software",2,1-10,"Lukas Antczak, Philipp Busse",2,Seed,2020-02-05,50000,EUR,55007,Pre-Seed,50000,EUR,55007,Pre-Seed,170000,EUR,186534,170000,EUR,186534,"APX, EXIST",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
Curbn,https://www.crunchbase.com/organization/curbn,Active,,"Communities, Mental Health, Training","Maastricht, Limburg, The Netherlands",Online community for founders facing or preventing burnout,"860,546","European Union (EU), Europe, Middle East, and Africa (EMEA)",6202 SB,,2019-10-01,day,,,,,For Profit,https://curbnit.com,https://x.com/curbnit,,https://linkedin.com/company/curbn,"Curbnit is an online platform and resource for startup founders who want to escape burnout. It offers online courses, coaching, and an online community.","Community and Lifestyle, Education, Health Care",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Internative,https://www.crunchbase.com/organization/internative,Active,,Internet,"Maastricht, Limburg, The Netherlands",Platform which enables students to connect with companies using WhatsApp,"3,534,296","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2019-10-01,day,,,,,For Profit,https://internative.works/,,,https://www.linkedin.com/company/internativeworks,,Internet Services,1,1-10,Iron Brands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Lupiter,https://www.crunchbase.com/organization/lupiter,Active,,Software,"Düsseldorf, Nordrhein-Westfalen, Germany",We help brands to pioneer Messenger Marketing by using WhatsApp.,"155,642","European Union (EU), Europe, Middle East, and Africa (EMEA)",40231,Less than $1M,2019-09-11,day,,,,,For Profit,https://www.lupiter.com/,,,https://www.linkedin.com/company/lupiter-app,"It's better to have a conversation. We help brands to pioneer Conversational Commerce by using WhatsApp. Send out WhatsApp newsletters to your audience. Sell your product or service customers in chat. Engage with your customers directly where their friends are. A conversational commerce suite for consumer brands, who want to talk and build relationships with their customers. We guide brands from setup to sales ready and enable your next marketing and sales channel. 100% personalized.",Software,1,1-10,Giuseppe Ruffo,2,Seed,2022-04-20,200000,EUR,217002,Pre-Seed,200000,EUR,217002,Pre-Seed,400000,EUR,462152,400000,EUR,462152,"NRW.BANK, Julian Beckmann, Lennart Beckmann",2,3,,,,,,,,,,,,,,Private,,,,,,,,,,,
Zero-Carbon GmbH,https://www.crunchbase.com/organization/zero-carbon-gmbh,Active,,"Information Technology, Internet, Marketing, Professional Services, Software","Köln, Nordrhein-Westfalen, Germany","Clean & Green Tech Streaming Platform with future intrest in making Digitalization Green, Clean & Sustainable","186,595","European Union (EU), Europe, Middle East, and Africa (EMEA)",50670,,2019-09-09,day,,,,,For Profit,https://zero-carbon.de/,,,https://www.linkedin.com/company/0-carbon/,"Everyone loves nature and so do they hang around the mountains and trees. We forgot to realize, that our daily human activity is killing our environment. Carbon emissions are so huge that, we should act now to make the impact we made reversible. In some years, we don’t have any chance to act! We are working on solutions to protect and save the Planet, In 3 different ways. 1. Nature - Protection & Care 2. Technology - Green & Sustainable Future 3. Socially - Improving Lives while saving Planet We are building a Dedicated Green Streaming Platform with completely Green Energy & Our Platform is going to be completely secure without any data collection. The Revenue generated is dedicated only to Climate Action, Protect Nature & Improving lives. Climate Change is accelerating from Day to Day. Every minute 1 Million tons of Ice is melting from icecaps & 150 Acres of the forest is getting burnt. Our Actions differ from the other Climate action firms.","Information Technology, Internet Services, Other, Sales and Marketing, Software",1,11-50,Rajeshwar Bachu,1,Seed,2022-07-01,50000,EUR,52145,Seed,50000,EUR,52145,Seed,50000,EUR,52145,50000,EUR,52145,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
smashleads™,https://www.crunchbase.com/organization/smashleads,Active,,"E-Commerce, Lead Generation, Marketing Automation, SaaS, Software","Cologne, Nordrhein-Westfalen, Germany",smashleads™ optimizes the leadgeneration online by interactive funnels. Creating high converting forms in less than 10 minutes. SaaS,"403,619","European Union (EU), Europe, Middle East, and Africa (EMEA)",50354,,2019-09-02,day,,,,,For Profit,https://smashleads.com/,https://twitter.com/smashleads,https://www.facebook.com/smashleads/?eid=ARA1Pvt87tltOfqMTVRDmB6n1YrCQlkoqJ52Aeo3Cz_u0BjPfvJXvJ-gUWiJkzOc5Yjhwc4ZKH2kYY6T,https://www.linkedin.com/company/13999136/admin/,smashleads™ is a tool with which it's possible to create interactive content for the website to push the conversion to a maximum. The Leadgenerator optimizes the conversion in real time and adapts itself permanently to the website visitors by integrating a AI.,"Commerce and Shopping, Sales and Marketing, Software",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
CYCLUPS,https://www.crunchbase.com/organization/cyclups,Active,,"Biotechnology, Consumer Goods, GreenTech, Manufacturing","Maastricht, Limburg, The Netherlands","CYCLUPS develops a plant-based, compostable alternative to plastic that can be upcycled into different product.","67,050","European Union (EU), Europe, Middle East, and Africa (EMEA)",6221AC,,2019-09-01,month,,,,,For Profit,https://www.cyclups.com/,,https://web.facebook.com/cyclupsplantastiq/,https://www.linkedin.com/company/cyclups-plantastiq/,"CYCLUPS develops a plant-based, compostable alternative to plastic that can be upcycled into different products. The company develops multiple granulate ratios for tailor-made projects that can be used for sunglasses, pens, flower pots, egg trays, etc.","Biotechnology, Consumer Goods, Manufacturing, Science and Engineering, Sustainability",1,1-10,Bas Latten,1,Seed,2023-06-07,3200000,EUR,3426256,Seed,3200000,EUR,3426256,Seed,3200000,EUR,3426256,3200000,EUR,3426256,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
MINDZEIT®,https://www.crunchbase.com/organization/mindzeit,Active,,"Apps, Fitness, InsurTech, Wellness","Köln, Nordrhein-Westfalen, Germany",MINDZEIT is an intelligent coaching system based on mindfulness and meditation.,"122,814","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2019-09-01,day,,,,,For Profit,https://mindzeit.app/,https://twitter.com/MINDZEIT_app,https://www.facebook.com/mindzeit/,https://www.linkedin.com/company/mindzeit/,"MINDZEIT is a mobile application of a coaching system based on mindfulness and meditation. The app features include digital health, stress management, mindfulness, meditation, health at work, b2b, mindfulness at work, e-health, gamification, and employer branding.","Apps, Financial Services, Health Care, Software, Sports",1,1-10,Céleste Kleinjans,5,Seed,2024-03-31,,,,Seed,,,,Seed,,,,60000,EUR,69567,"Federal Ministry for Economic Affairs and Energy (BMWi), TechFounders, Plug and Play Insurtech, Film- und Medienstiftung NRW, InsurLab Germany",,5,,,,,,,,,,,,,,Private,,,,,,,,,,,
