Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Voordeligeashangers,https://www.crunchbase.com/organization/gedenksieraden-pool-boers,Active,,"E-Commerce, Jewelry, Shopping","Broekhuizenvorst, Limburg, The Netherlands","Voordeligeashangers is an online store for jewelry, hangers, bracelets, and shaft chains.","3,075,169","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2016-12-22,day,,,,,For Profit,https://www.voordeligeashangers.nl,,,,,"Commerce and Shopping, Consumer Goods",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Holocafé,https://www.crunchbase.com/organization/holocafé,Active,,"Digital Entertainment, Leisure, Media and Entertainment, Software, Video Games, Virtual Reality","Düsseldorf, Nordrhein-Westfalen, Germany",The location-based VR entertainment franchise,"133,186","European Union (EU), Europe, Middle East, and Africa (EMEA)",40211,Less than $1M,2016-12-20,day,,,,,For Profit,https://www.holocafe.de,https://twitter.com/holocafe,https://www.facebook.com/holocafe/,https://www.linkedin.com/company/10553586/,"Holocafé ist a franchiser company developing exclusive, shared-space VR experiences for location-based entertainment. Content aside, we have developed an entire one-stop platform solution to provide leisure operators with all tools they need: From ticketing and online payment over staff scheduling and accounting to store automization and content distribution.  We are presently running three pilot stores in Germany with a fourth one scheduled to open this spring, in addition to a number of international licensees.","Community and Lifestyle, Gaming, Hardware, Media and Entertainment, Software",3,1-10,"Jessica Hagedorn, Oliver Eberlei, Sebastian Kreutz",5,,2020-04-07,,,,Venture - Series Unknown,,,,Venture - Series Unknown,163810,USD,163810,680826,USD,680826,"NRW.BANK, GLOBAL TOP ROUND(USA)",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
Diploc IT-Services,https://www.crunchbase.com/organization/diploc-it-services,Active,,"Information Services, Information Technology, Web Development","Weert, Limburg, The Netherlands",Diploc IT-Services specializes in developing and managing Magento.,"3,459,706","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2016-12-13,day,,,,,For Profit,http://www.diploc.com,,,https://www.linkedin.com/company/diploc/,,"Information Technology, Software",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Bongour,https://www.crunchbase.com/organization/bongour,Active,,"Information Technology, Internet","Cologne, Nordrhein-Westfalen, Germany","Bongour is an online platform that allows professional and amateur cooks to build, operate and scale their culinary businesses.","207,900","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2016-12-01,month,,,,,For Profit,http://www.bongour.com,https://twitter.com/bongourapp,https://www.facebook.com/bongourapp/,https://www.linkedin.com/company/bongour,"Bongour is an innovative platform that provides infrastructure, logistics, technology and distribution to chefs and cooks looking to kickstart their own business, but with no resources to build it.  At Bongour we empower ambitious cooks and chefs to develop their own gastronomic business, without investing or paying any money. Think of Bongour as the first large scale gastronomy accelerator. Join the Gastronomy Revolution!","Information Technology, Internet Services",1,1-10,Victor Hugo Gomez Zerpa,1,Seed,2017-01-01,230000,EUR,242178,Angel,230000,EUR,242178,Angel,230000,EUR,242178,230000,EUR,242178,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,1
Ruhr: Hub,https://www.crunchbase.com/organization/ruhr-hub,Active,,,"Essen, Nordrhein-Westfalen, Germany",Ruhr: Hub goal is to support companies and start-ups in the opportunities resulting from digitization in a targeted manner.,"2,586,645","European Union (EU), Europe, Middle East, and Africa (EMEA)",45127,Less than $1M,2016-12-01,month,,,,,For Profit,https://hub.ruhr,https://twitter.com/RuhrHub,https://www.facebook.com/pg/ruhrHub,https://www.linkedin.com/company/ruhr-hub-gmbh,Ruhr: Hubgoal is to support companies and start-ups in the opportunities resulting from digitization in a targeted manner and to actively link them with one another.,,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Per Bacco Vini,https://www.crunchbase.com/organization/per-bacco-vini,Active,,"E-Commerce, Food and Beverage, Wine And Spirits","Herten, Limburg, The Netherlands",Per Bacco Vini is an e-commerce platform for sales Italian wine.,"3,204,873","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2016-12-01,day,,,,,For Profit,https://www.perbaccovini.nl,,https://www.facebook.com/italiaansewijnenperbaccovini/,https://www.linkedin.com/company/per-bacco-vini,,"Commerce and Shopping, Food and Beverage",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Les Petits Producteurs,https://www.crunchbase.com/organization/les-petits-producteurs,Active,,"Grocery, Organic Food, Retail","Liège, Liege, Belgium","Les Petits Producteurs is an organic food store that sells fruits, vegetables, bread, meat, fish, spices, and beers.","1,249,515","European Union (EU), Europe, Middle East, and Africa (EMEA)",4000,,2016-11-30,day,,,,,For Profit,https://lespetitsproducteurs.be,,https://www.facebook.com/LesPetitsProducteurs.be,https://www.linkedin.com/company/les-petits-producteurs,,"Commerce and Shopping, Food and Beverage",,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Best Budget,https://www.crunchbase.com/organization/best-budget,Active,,"E-Commerce, Furniture, Sales","Echt, Limburg, The Netherlands",Best Budget is a web shop to buy office furniture.,"1,554,217","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2016-11-23,day,,,,,For Profit,http://www.bestbudgetkantoormeubelen.nl,,https://www.facebook.com/BestBudgetKantoormeubelen/,,,"Commerce and Shopping, Consumer Goods, Sales and Marketing",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Keep Fighting Foundation gGmbh,https://www.crunchbase.com/organization/keep-fighting,Active,,,"Bonn, Nordrhein-Westfalen, Germany",Keep Fighting is inspired by Michael Schumacher,"3,297,107","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2016-11-13,day,,,,,Non-profit,http://www.keepfighting.ms,https://twitter.com/keepfighting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Nolisys,https://www.crunchbase.com/organization/nolisys,Active,,"Industrial Engineering, Mechanical Engineering, Software","Seraing, Liege, Belgium",Nolisys is a provider of services and software for nonlinear vibration analysis.,"3,449,024","European Union (EU), Europe, Middle East, and Africa (EMEA)",B-4102,Less than $1M,2016-11-07,day,,,,,For Profit,https://nolisys.com,,,https://www.linkedin.com/company/nolisys,,"Manufacturing, Science and Engineering, Software",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
